Austria,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hungary,5.  Waste,4.11430656,2.6892,2.6992432,2.693467636,2.734852364,2.757992727,2.715435927,2.693034327,2.599662836,2.423671273,2.263708364,2.039872145,1.7352,1.57536,1.3442832,1.1098152,0.929064,0.7942872,0.7023728,0.842615131,1.007189974,1.28253127,1.6110848,1.55133832,1.895143036,1.85566314,1.705779714,1.694444192,1.546262102
Hungary,6.  Other,NE,139.1240246,117.3327543,99.05571615,88.12611608,81.07109172,82.44213256,82.87166061,80.69435642,83.48949814,85.84806506,86.30802944,84.60736572,87.37612943,87.90022046,84.97253573,80.22623767,80.11880866,80.08290906,73.88810165,70.08115546,70.61597025,70.77680492,70.22549154,72.79081385,73.97728209,78.25552495,78.43846985,79.62220823
Iceland,1.  Energy,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,
Iceland,2.  Industrial Processes and Product Use,0.018557045,0.018557045,0.017691508,0.015898468,0.016133314,0.018072348,0.021430164,0.020089805,0.022401222,0.02138383,0.022874174,0.023725654,0.022468374,0.023215338,0.020543866,0.024281231,0.026146296,0.030788662,0.034333896,0.029377172,0.012610898,0.015944818,0.023445916,0.020204873,0.019469942,0.019415404,0.016845366,0.013112519,0.023218777
Iceland,5.  Waste,NE,NE,NE,NE,NE,NE,0.00048,0.00048,0.00048,0.00048,0.00048,0.00048,0.00048,0.00048,0.00072,0.00072,0.0012,0.00192,0.0024,0.002546,0.003057,0.003659,0.003427,0.002683,0.003592,0.004834,0.005112,0.00547,
Iceland,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ireland,1.  Energy,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Ireland,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ireland,5.  Waste,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Ireland,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Italy,1.  Energy,10.6326393,10.6326393,10.70780423,11.34314973,12.60450273,13.86492414,15.51832831,17.65892901,19.78868699,23.30373336,25.06515885,33.65140195,33.00011025,32.19434071,33.32848733,37.2964403,32.85187115,30.25070896,23.89281085,23.00099053,20.73746731,18.81380434,17.44340083,14.24236489,14.87799122,12.84916571,12.94001651,13.24950313,13.03337499
Italy,2.  Industrial Processes and Product Use,0.758586906,0.758586906,0.692034613,0.805490781,0.678620806,0.448298944,0.447815019,0.403277449,0.429796506,0.358155938,0.322458569,0.348831019,0.283771905,0.271959306,0.770270589,0.422720168,0.531585267,0.627093393,0.46550561,0.446017777,0.26974061,0.483274808,0.358874295,0.528921764,0.372471509,0.41605385,0.452218391,0.450522247,0.481369835
